Origin,DayOfYear,cancelledTotal,cancelledCarrier,cancelledWeather,cancelledNAS,cancelledSecurity
ORD,36,635,36,480,119,0
DFW,77,565,14,546,5,0
IAH,257,470,4,455,11,0
ORD,80,402,28,257,117,0
DFW,65,397,11,386,0,0
ORD,34,389,16,170,203,0
ATL,18,383,9,365,9,0
ORD,216,371,19,196,156,0
IAH,256,343,2,337,4,0
DFW,99,338,328,10,0,0
ORD,30,330,33,48,249,0
DFW,100,324,301,21,2,0
IAH,255,305,1,302,2,0
ORD,159,287,8,181,98,0
ORD,358,282,9,69,204,0
ORD,42,280,18,72,190,0
ORD,31,269,15,103,151,0
ATL,194,265,47,88,130,0
EWR,52,264,5,251,8,0
ORD,28,261,27,61,173,0
ORD,361,256,7,165,84,0
ORD,90,254,6,22,226,0
ORD,47,249,14,61,174,0
ORD,115,236,14,115,107,0
LAS,352,234,4,223,7,0
IAH,77,229,10,199,20,0
ATL,15,222,22,193,7,0
ORD,100,209,124,13,72,0
ORD,56,204,6,91,107,0
ORD,354,204,10,169,25,0
DFW,147,199,5,162,32,0
LGA,52,198,2,172,24,0
ORD,351,197,20,108,69,0
ORD,122,195,16,87,92,0
DFW,98,189,188,1,0,0
ORD,35,185,27,129,29,0
EWR,354,184,2,173,9,0
IAH,217,178,2,175,1,0
ORD,99,178,172,5,1,0
ORD,55,178,5,15,158,0
DFW,101,177,177,0,0,0
ORD,27,172,31,6,135,0
BOS,13,168,28,140,0,0
ORD,33,158,29,57,72,0
JFK,52,147,3,134,10,0
ORD,86,145,32,54,59,0
ORD,157,145,19,6,120,0
ORD,5,145,12,69,64,0
ORD,365,143,40,70,33,0
ORD,6,142,24,53,65,0
ORD,335,141,3,50,88,0
BOS,52,140,4,129,7,0
JFK,208,138,6,108,24,0
ORD,16,136,17,9,110,0
ORD,356,136,25,107,4,0
ATL,16,135,7,125,3,0
ORD,150,134,17,7,110,0
ORD,22,132,22,5,105,0
IAH,258,131,8,118,5,0
SFO,3,131,20,71,40,0
ORD,362,129,3,83,43,0
BOS,356,129,2,97,30,0
DFW,62,125,7,116,2,0
LGA,354,123,5,102,16,0
ORD,164,121,7,39,75,0
ATL,67,120,13,72,35,0
LGA,204,119,21,32,66,0
ORD,101,118,94,8,16,0
ORD,131,118,17,4,97,0
ORD,98,118,67,6,45,0
ATL,21,117,2,113,2,0
EWR,204,116,13,31,72,0
ATL,361,116,12,37,67,0
EWR,43,115,4,54,57,0
DFW,46,114,12,102,0,0
ORD,21,112,24,7,81,0
ORD,256,111,7,74,30,0
ORD,77,107,17,39,51,0
JFK,354,106,5,97,4,0
ORD,154,104,6,40,58,0
JFK,204,103,13,76,14,0
LGA,43,103,12,36,55,0
DTW,354,102,25,74,3,0
BOS,354,102,6,87,9,0
ORD,343,99,11,36,52,0
LGA,13,99,3,96,0,0
DFW,26,98,11,87,0,0
DFW,24,97,7,89,1,0
ATL,94,97,28,23,46,0
ORD,20,96,19,8,69,0
ORD,166,96,17,11,68,0
LGA,223,95,5,29,61,0
ORD,247,94,25,1,68,0
IAH,345,94,20,64,10,0
JFK,223,93,10,69,14,0
JFK,214,92,2,73,17,0
DFW,160,92,14,63,15,0
EWR,67,92,7,62,23,0
LGA,222,91,7,32,52,0
DFW,170,91,8,82,1,0
ATL,25,90,2,88,0,0
ORD,62,90,15,12,63,0
ATL,191,89,26,25,38,0
EWR,208,88,4,34,50,0
ATL,63,88,14,46,28,0
DFW,85,88,88,0,0,0
EWR,356,87,1,86,0,0
ORD,52,87,8,78,1,0
ATL,238,85,14,5,66,0
DFW,66,85,4,80,1,0
EWR,13,85,0,85,0,0
ATL,345,84,17,8,59,0
DFW,353,83,5,78,0,0
ORD,38,82,26,3,53,0
DTW,80,82,35,33,14,0
EWR,42,82,6,55,21,0
JFK,222,82,2,61,19,0
DCA,52,81,3,77,1,0
ORD,7,81,12,10,59,0
LGA,167,80,11,21,48,0
ATL,52,80,9,44,27,0
EWR,222,78,2,8,68,0
DFW,256,78,5,73,0,0
DFW,168,77,11,66,0,0
DFW,227,77,11,43,23,0
LGA,94,77,12,24,41,0
JFK,67,77,4,55,18,0
ORD,191,76,10,21,45,0
LGA,208,76,3,33,40,0
EWR,31,76,6,30,40,0
LGA,42,76,3,53,20,0
ORD,85,76,75,1,0,0
LGA,252,75,7,17,51,0
ATL,85,75,74,0,1,0
ORD,59,75,24,3,48,0
EWR,167,75,4,18,53,0
LGA,302,74,9,11,54,0
EWR,223,74,2,14,58,0
DFW,127,74,9,64,1,0
ATL,212,74,20,12,42,0
JFK,13,74,27,47,0,0
ORD,204,73,21,15,37,0
ORD,183,73,10,19,44,0
JFK,227,73,3,57,13,0
DFW,35,72,21,44,7,0
LGA,31,72,11,38,23,0
ORD,41,72,33,22,17,0
ORD,67,71,19,49,3,0
IAH,177,70,4,63,3,0
JFK,226,70,1,56,13,0
LGA,269,69,8,18,43,0
ORD,29,69,34,21,14,0
EWR,214,69,8,7,54,0
IAD,52,69,20,45,4,0
ATL,237,69,6,4,59,0
ATL,187,68,9,22,37,0
ORD,48,68,35,4,29,0
SFO,24,68,4,3,61,0
ATL,86,68,68,0,0,0
DFW,351,67,7,60,0,0
LGA,118,67,6,6,55,0
ORD,43,67,29,18,20,0
ORD,257,66,8,32,26,0
EWR,227,66,6,14,46,0
EWR,346,66,6,12,48,0
BOS,204,65,13,25,27,0
ATL,346,64,11,10,43,0
ATL,354,64,1,58,5,0
LGA,67,61,7,40,14,0
DTW,36,61,18,29,14,0
DFW,28,61,13,18,30,0
IAH,350,61,0,20,41,0
ORD,255,60,4,16,40,0
EWR,132,60,2,6,52,0
LGA,10,60,18,13,29,0
LGA,78,60,11,18,31,0
JFK,356,59,4,51,4,0
DFW,315,59,2,38,19,0
ORD,155,59,8,18,33,0
ATL,42,58,7,44,7,0
BOS,355,58,6,37,15,0
EWR,173,57,5,5,47,0
ORD,1,57,28,17,12,0
DFW,102,57,57,0,0,0
DFW,70,57,5,52,0,0
BOS,43,57,8,33,16,0
BOS,208,57,8,26,23,0
ORD,359,56,13,38,5,0
LGA,165,56,10,31,15,0
ATL,319,56,16,11,29,0
LGA,180,56,2,24,30,0
IAH,353,55,0,55,0,0
JFK,42,55,0,48,7,0
DFW,362,55,6,49,0,0
ORD,89,55,16,2,37,0
LGA,226,55,8,20,27,0
LGA,36,54,8,36,10,0
ORD,353,53,7,37,9,0
LGA,147,53,8,17,28,0
LGA,227,53,7,17,29,0
ATL,66,52,6,42,4,0
JFK,167,52,2,34,16,0
BOS,223,52,6,23,23,0
DTW,34,52,10,38,4,0
DTW,365,52,28,15,9,0
EWR,220,51,3,8,40,0
ORD,180,51,23,12,16,0
LGA,205,51,7,14,30,0
LGA,29,51,11,16,24,0
LAX,3,51,14,25,12,0
EWR,351,50,1,30,19,0
ATL,204,50,22,15,13,0
DCA,204,50,9,16,25,0
EWR,94,50,6,7,37,0
ORD,40,50,24,23,3,0
EWR,129,50,4,5,41,0
JFK,118,50,2,29,19,0
DFW,134,50,18,32,0,0
ORD,337,49,8,15,26,0
LAS,353,49,10,37,2,0
ATL,244,49,1,48,0,0
ORD,217,49,13,23,13,0
ORD,212,49,12,5,32,0
LGA,132,49,7,13,29,0
JFK,252,49,0,38,11,0
ORD,63,49,24,23,2,0
LGA,319,48,7,21,20,0
LGA,173,48,7,18,23,0
ORD,118,48,9,6,33,0
EWR,68,48,16,3,29,0
ATL,51,48,13,34,1,0
LGA,41,48,12,11,25,0
DFW,90,47,12,27,8,0
IAH,233,47,0,33,14,0
ORD,51,47,9,37,1,0
DFW,86,47,47,0,0,0
ORD,66,47,20,22,5,0
JFK,249,47,0,39,8,0
LGA,66,47,10,22,15,0
LAS,43,47,11,36,0,0
DCA,354,46,3,36,7,0
DTW,356,46,11,30,5,0
EWR,252,46,1,12,33,0
ATL,203,46,8,15,23,0
ORD,192,46,16,24,6,0
JFK,173,46,2,36,8,0
ORD,156,46,17,20,9,0
LGA,161,46,8,20,18,0
ORD,17,46,33,4,9,0
BOS,366,45,3,41,1,0
DFW,244,45,3,42,0,0
DFW,126,45,11,34,0,0
LGA,91,45,8,10,27,0
IAH,244,45,0,45,0,0
ORD,158,45,13,18,14,0
ORD,199,44,18,2,24,0
LGA,155,44,9,10,25,0
LGA,310,44,3,12,29,0
LGA,100,44,41,2,1,0
BOS,205,44,11,18,15,0
DFW,51,44,8,36,0,0
EWR,161,44,4,14,26,0
ORD,37,44,20,22,2,0
ATL,34,44,4,31,9,0
EWR,335,44,6,1,37,0
EWR,10,44,1,20,23,0
DCA,167,43,3,14,26,0
EWR,180,43,2,1,40,0
EWR,64,43,2,10,31,0
ORD,84,43,11,2,30,0
LGA,356,42,4,32,6,0
EWR,366,42,0,42,0,0
LGA,99,42,42,0,0,0
LGA,64,42,16,9,17,0
DFW,179,42,2,39,1,0
SFO,2,41,10,2,29,0
EWR,174,41,7,3,31,0
DEN,61,41,12,27,2,0
ORD,205,41,29,5,7,0
LGA,101,41,34,4,3,0
ATL,35,41,6,30,4,1
EWR,53,41,1,40,0,0
BOS,167,41,7,17,17,0
ATL,353,40,6,34,0,0
JFK,165,40,3,36,1,0
ATL,56,40,12,23,5,0
DTW,42,40,8,22,10,0
LGA,129,40,10,12,18,0
SFO,335,40,3,29,8,0
IAH,69,40,14,26,0,0
DEN,34,40,8,31,1,0
ORD,9,40,29,3,8,0
LAS,33,40,7,7,26,0
ORD,357,39,22,14,3,0
ORD,167,39,11,15,13,0
ORD,202,39,28,10,1,0
BOS,227,39,3,19,17,0
LGA,79,39,12,8,19,0
ATL,74,39,12,14,13,0
JFK,209,39,8,31,0,0
DEN,76,39,5,29,5,0
ATL,47,39,16,15,8,0
EWR,29,39,4,7,28,0
LGA,345,38,7,15,16,0
JFK,220,38,2,31,5,0
IAH,62,38,1,37,0,0
LAX,335,38,3,35,0,0
ATL,36,38,4,30,4,0
ATL,335,38,10,15,13,0
EWR,40,38,3,7,28,0
ORD,342,37,6,23,8,0
ORD,355,37,5,16,16,0
BOS,222,37,3,14,20,0
DCA,223,37,7,14,16,0
DCA,208,37,5,13,19,0
JFK,201,37,4,20,13,0
LGA,169,37,3,15,19,0
SFO,154,37,6,5,26,0
JFK,31,37,4,28,5,0
DTW,67,37,11,15,11,0
ORD,213,37,18,15,4,0
EWR,80,37,2,22,13,0
ORD,12,37,10,26,1,0
EWR,302,36,0,8,28,0
DTW,35,36,11,20,5,0
ORD,201,36,30,2,4,0
LGA,174,36,11,13,12,0
ATL,99,36,35,0,1,0
ORD,102,36,35,1,0,0
IAH,205,36,10,17,9,0
DFW,97,36,34,1,1,0
ATL,78,36,14,3,19,0
JFK,299,36,0,25,11,0
IAH,94,36,2,20,14,0
ORD,352,36,15,15,6,0
EWR,269,36,0,4,32,0
DCA,31,36,9,18,9,0
IAD,43,36,18,11,7,0
DFW,36,36,14,22,0,0
ORD,161,36,15,12,9,0
DFW,47,36,1,30,5,0
EWR,310,35,0,3,32,0
ORD,179,35,13,16,6,0
DCA,43,35,9,11,15,0
SFO,202,35,11,0,24,0
SFO,7,35,7,1,27,0
EWR,56,35,3,26,6,0
IAH,30,35,3,25,7,0
LGA,178,35,6,17,12,0
SFO,30,35,4,2,29,0
EWR,90,35,2,5,28,0
JFK,366,34,2,31,1,0
EWR,345,34,1,5,28,0
DEN,356,34,10,22,2,0
DTW,361,34,8,25,1,0
DCA,194,34,3,10,21,0
DFW,89,34,10,24,0,0
DCA,155,34,5,8,21,0
BOS,118,34,5,14,15,0
DEN,4,34,10,22,2,0
DEN,357,34,5,26,3,0
DTW,358,34,24,5,5,0
DFW,25,34,8,26,0,0
LGA,346,34,9,8,17,0
JFK,78,34,7,22,5,0
DFW,63,34,17,13,4,0
LGA,8,34,13,5,16,0
DEN,33,34,2,29,3,0
DCA,222,34,2,10,22,0
ORD,222,34,11,6,17,0
LAX,51,34,14,14,6,0
LAX,99,34,34,0,0,0
EWR,69,34,34,0,0,0
ORD,310,33,11,2,20,0
DFW,257,33,1,32,0,0
DEN,353,33,3,30,0,0
IAH,289,33,1,30,2,0
ATL,77,33,9,18,6,0
ORD,116,33,10,15,8,0
DTW,122,33,10,16,7,0
ORD,264,33,0,26,7,0
DFW,52,33,0,33,0,0
LAS,26,33,8,14,11,0
ATL,31,33,4,24,5,0
ORD,68,33,23,3,7,0
LGA,16,33,14,14,5,0
DFW,42,33,11,17,5,0
ORD,10,33,18,7,8,0
SFO,28,33,12,0,21,0
ORD,13,33,19,9,5,0
SFO,4,33,12,3,18,0
ORD,24,33,18,3,12,0
IAH,352,32,0,32,0,0
ATL,362,32,13,15,4,0
ORD,350,32,11,13,8,0
JFK,320,32,2,26,4,0
DFW,94,32,19,9,4,0
IAH,134,32,2,20,10,0
ORD,91,32,15,1,16,0
ATL,257,32,4,27,1,0
LAX,84,32,9,10,13,0
LGA,90,32,12,4,16,0
BOS,31,32,8,13,11,0
DCA,42,32,6,15,11,0
DTW,52,32,3,23,6,0
LGA,86,32,30,0,2,0
ORD,3,32,24,8,0,0
ORD,188,32,5,8,19,0
DEN,355,31,6,21,4,0
DFW,245,31,7,24,0,0
ORD,252,31,5,13,13,0
ATL,255,31,3,25,3,0
DCA,356,31,8,15,8,0
BOS,214,31,3,16,12,0
ATL,231,31,1,30,0,0
LGA,190,31,10,10,11,0
JFK,161,31,4,25,2,0
IAD,204,31,4,11,16,0
ORD,160,31,12,17,2,0
LGA,63,31,11,13,7,0
ORD,345,31,6,10,15,0
DFW,122,31,15,13,3,0
ATL,351,30,3,23,4,0
EWR,355,30,2,20,8,0
ATL,318,30,6,5,19,0
BOS,252,30,3,12,15,0
JFK,43,30,2,19,9,0
SFO,305,30,3,0,27,0
IAD,155,30,6,2,22,0
EWR,101,30,8,2,20,0
LGA,34,30,12,11,7,0
EWR,8,30,2,1,27,0
BOS,67,30,5,21,4,0
BOS,357,29,18,11,0,0
DTW,183,29,3,8,18,0
ORD,176,29,24,0,5,0
DFW,255,29,1,25,3,0
EWR,79,29,4,6,19,0
LGA,21,29,5,9,15,0
EWR,91,29,4,2,23,0
ORD,163,29,10,14,5,0
ORD,58,29,27,2,0,0
SFO,14,29,6,18,5,0
DTW,204,29,9,8,12,0
DTW,66,29,8,19,2,0
ORD,106,29,10,0,19,0
BOS,10,29,10,7,12,0
SFO,356,29,6,19,4,0
EWR,118,29,3,2,24,0
BOS,218,29,5,9,15,0
DTW,31,29,5,17,7,0
JFK,10,29,11,15,3,0
DEN,100,29,21,8,0,0
DFW,30,29,4,17,8,0
DCA,16,29,10,13,6,0
IAD,16,29,5,23,1,0
ATL,356,28,4,24,0,0
JFK,335,28,2,17,9,0
EWR,319,28,1,2,25,0
SFO,307,28,7,0,21,0
IAH,296,28,9,13,6,0
ORD,223,28,7,9,12,0
ORD,194,28,13,9,6,0
ORD,193,28,3,22,3,0
ORD,49,28,28,0,0,0
EWR,194,28,4,5,19,0
DFW,241,28,8,16,4,0
ORD,178,28,14,1,13,0
DFW,34,28,13,12,3,0
EWR,147,28,2,6,20,0
DEN,99,28,22,6,0,0
DCA,13,28,2,26,0,0
SFO,51,28,3,7,18,0
EWR,36,28,0,16,12,0
LGA,48,28,10,5,13,0
SFO,365,28,14,12,2,0
ORD,317,28,5,4,19,0
JFK,355,28,2,17,9,0
ORD,78,28,22,4,2,0
ORD,4,28,11,15,2,0
DEN,361,27,2,25,0,0
LAS,350,27,14,12,1,0
ATL,256,27,1,26,0,0
BOS,147,27,4,6,17,0
DTW,63,27,15,10,2,0
BOS,220,27,8,6,13,0
ORD,200,27,18,1,8,0
IAD,194,27,2,12,13,0
EWR,136,27,2,1,24,0
EWR,122,27,1,2,24,0
LAX,98,27,26,1,0,0
JFK,166,27,4,14,9,0
DCA,67,27,1,24,2,0
LGA,35,27,7,13,7,0
ORD,76,27,17,4,6,0
ORD,8,27,18,4,5,0
EWR,66,27,6,20,1,0
DFW,211,27,9,18,0,0
BOS,156,27,4,6,17,0
BOS,226,26,4,7,15,0
ORD,206,26,23,2,1,0
LGA,220,26,6,5,15,0
DFW,204,26,8,13,5,0
ORD,208,26,9,12,5,0
EWR,165,26,5,5,16,0
EWR,226,26,1,4,21,0
ORD,173,26,11,4,11,0
BOS,42,26,5,17,4,0
BOS,155,26,4,10,12,0
DFW,115,26,7,19,0,0
DFW,93,26,19,4,3,0
EWR,177,26,8,1,17,0
ATL,80,26,4,17,5,0
DTW,43,26,11,5,10,0
DCA,205,26,7,10,9,0
LAX,366,26,0,26,0,0
DTW,1,26,22,2,2,0
EWR,78,26,6,4,16,0
SFO,53,26,6,2,18,0
ORD,32,26,26,0,0,0
DEN,5,26,5,20,1,0
BOS,78,26,5,7,14,0
DTW,64,26,18,3,5,0
ATL,357,26,21,5,0,0
LAX,14,26,13,11,2,0
LGA,355,25,6,10,9,0
DFW,352,25,10,13,2,0
DTW,351,25,3,20,2,0
BOS,94,25,7,7,11,0
DEN,44,25,17,8,0,0
SFO,26,25,4,8,13,0
LGA,203,25,13,5,7,0
ORD,44,25,23,2,0,0
DEN,77,25,6,18,1,0
LGA,98,25,22,1,2,0
BOS,99,25,25,0,0,0
DTW,40,25,10,12,3,0
DCA,86,25,23,0,2,0
ORD,65,25,10,15,0,0
EWR,63,25,2,9,14,0
IAH,227,25,1,24,0,0
DTW,5,25,1,21,3,0
LGA,85,25,18,6,1,0
IAD,161,25,9,4,12,0
ATL,30,25,8,13,4,0
EWR,205,25,6,11,8,0
DTW,56,25,11,8,6,0
ORD,289,25,8,0,17,0
LGA,347,24,7,7,10,0
IAH,356,24,1,9,14,0
SFO,350,24,8,5,11,0
DEN,342,24,5,15,4,0
LAX,352,24,9,14,1,0
BOS,269,24,2,5,17,0
DFW,76,24,19,5,0,0
LGA,189,24,9,8,7,0
DFW,161,24,12,7,5,0
DFW,176,24,15,7,2,0
JFK,194,24,1,17,6,0
EWR,190,24,1,4,19,0
DTW,159,24,9,8,7,0
BOS,310,24,2,7,15,0
ORD,127,24,7,6,11,0
ATL,100,24,23,1,0,0
DFW,113,24,7,17,0,0
DEN,36,24,5,19,0,0
ORD,177,24,12,5,7,0
SFO,99,24,24,0,0,0
SFO,5,24,13,1,10,0
JFK,190,24,2,18,4,0
ORD,64,24,14,5,5,0
DFW,107,24,2,20,2,0
IAD,42,24,8,3,13,0
JFK,205,24,5,17,2,0
SFO,20,24,5,0,19,0
LGA,30,24,8,10,6,0
EWR,48,24,3,1,20,0
ATL,219,24,7,16,1,0
ATL,350,23,11,10,2,0
DTW,362,23,2,17,4,0
BOS,346,23,4,6,13,0
IAD,354,23,1,17,5,0
ORD,366,23,9,14,0,0
IAD,31,23,11,7,5,0
ORD,214,23,13,7,3,0
BOS,219,23,4,8,11,0
DFW,191,23,22,1,0,0
SFO,54,23,4,2,17,0
ATL,160,23,20,1,2,0
JFK,174,23,3,20,0,0
DTW,51,23,6,15,2,0
LGA,159,23,7,9,7,0
DCA,99,23,21,2,0,0
IAH,42,23,3,19,1,0
EWR,35,23,3,9,11,0
ATL,223,23,13,1,9,0
EWR,45,23,3,1,19,0
ATL,48,23,19,1,3,0
BOS,174,23,4,7,12,0
LGA,80,23,3,16,4,0
DCA,63,23,13,8,2,0
LGA,219,23,8,6,9,0
DTW,160,23,14,7,2,0
LGA,40,23,8,9,6,0
ORD,189,23,8,4,11,0
DCA,29,23,7,5,11,0
JFK,180,23,2,16,5,0
DEN,27,23,3,19,1,0
DFW,217,23,10,13,0,0
DTW,29,23,12,6,5,0
LGA,357,22,19,2,1,0
DTW,355,22,13,5,4,0
ATL,245,22,1,21,0,0
DCA,227,22,4,7,11,0
SFO,10,22,6,4,12,0
LGA,97,22,11,2,9,0
ATL,281,22,3,17,2,0
IAH,245,22,0,22,0,0
LGA,194,22,2,9,11,0
BOS,194,22,8,8,6,0
DFW,41,22,8,13,1,0
EWR,178,22,2,4,16,0
DFW,223,22,12,1,9,0
LGA,214,22,7,2,13,0
DEN,159,22,13,8,1,0
ORD,39,22,19,3,0,0
LGA,68,22,11,6,5,0
DEN,217,22,11,11,0,0
DFW,316,22,4,17,1,0
EWR,34,22,2,10,10,0
DEN,205,22,16,3,3,0
LAX,43,22,9,13,0,0
LAX,365,22,9,13,0,0
ATL,248,22,3,17,2,0
JFK,56,22,4,17,1,0
JFK,68,22,8,6,8,0
DFW,78,22,5,15,0,2
IAH,204,22,5,15,2,0
LAX,4,22,16,4,2,0
ORD,25,22,19,2,1,0
DFW,354,22,4,18,0,0
DFW,345,21,9,4,8,0
LAS,356,21,3,17,1,0
DEN,352,21,6,14,1,0
LAX,356,21,4,16,1,0
EWR,318,21,0,2,19,0
ORD,234,21,6,3,12,0
BOS,178,21,5,10,6,0
ATL,208,21,3,8,10,0
DTW,164,21,4,5,12,0
DCA,161,21,8,5,8,0
DFW,180,21,9,9,3,0
SFO,201,21,6,1,14,0
LGA,122,21,9,4,8,0
DTW,91,21,14,4,3,0
EWR,179,21,4,0,17,0
DTW,37,21,20,0,1,0
DTW,357,21,16,3,2,0
EWR,365,21,2,2,17,0
DFW,80,21,11,7,3,0
BOS,53,21,2,18,1,0
ORD,15,21,16,5,0,0
EWR,155,21,0,7,14,0
ORD,23,21,18,3,0,0
ORD,165,21,10,10,1,0
LGA,257,21,2,17,2,0
DFW,215,21,19,1,1,0
JFK,269,21,1,16,4,0
DEN,30,21,7,12,2,0
DFW,212,21,20,0,1,0
ORD,215,21,20,1,0,0
ORD,251,21,4,0,17,0
SFO,9,21,7,0,14,0
ORD,248,20,11,8,1,0
DEN,257,20,4,16,0,0
DEN,256,20,2,18,0,0
DCA,226,20,3,5,12,0
BOS,86,20,18,0,2,0
ORD,209,20,14,6,0,0
ATL,195,20,11,1,8,0
BOS,202,20,13,3,4,0
IAD,208,20,2,8,10,0
DFW,232,20,11,4,5,0
ATL,167,20,6,4,10,0
DTW,47,20,7,9,4,0
EWR,181,20,1,14,5,0
SFO,174,20,6,0,14,0
DCA,178,20,4,6,10,0
JFK,359,20,3,17,0,0
EWR,257,20,2,18,0,0
BOS,129,20,5,10,5,0
DCA,118,20,3,5,12,0
DFW,3,20,17,2,1,0
BOS,100,20,20,0,0,0
BOS,180,20,3,7,10,0
ORD,69,20,18,2,0,0
DCA,78,20,9,3,8,0
DEN,52,20,6,14,0,0
LAX,85,20,20,0,0,0
ATL,213,20,17,2,1,0
LAX,350,20,13,4,3,0
ATL,298,20,5,3,12,0
ATL,29,20,8,8,4,0
LAX,33,20,4,12,4,0
LGA,56,20,5,6,9,0
BOS,63,20,14,4,2,0
IAD,35,20,10,7,3,0
BOS,175,20,8,9,3,0
ATL,101,20,16,3,1,0
LGA,351,19,3,12,4,0
DCA,357,19,12,5,2,0
JFK,357,19,10,9,0,0
EWR,341,19,1,10,8,0
DFW,343,19,8,10,1,0
BOS,203,19,13,5,1,0
ORD,46,19,13,6,0,0
DFW,346,19,5,11,3,0
ORD,45,19,19,0,0,0
DFW,189,19,10,9,0,0
DFW,233,19,11,7,1,0
DFW,210,19,16,1,2,0
BOS,101,19,15,1,3,0
DFW,208,19,8,5,6,0
DFW,33,19,13,4,2,0
LGA,175,19,8,5,6,0
LGA,166,19,10,4,5,0
ATL,192,19,14,2,3,0
EWR,71,19,1,2,16,0
DFW,350,19,12,7,0,0
EWR,219,19,4,2,13,0
JFK,90,19,1,13,5,0
JFK,159,19,5,7,7,0
LAX,34,19,10,9,0,0
DCA,249,19,4,14,1,0
DTW,68,19,17,1,1,0
SFO,49,19,3,0,16,0
LAX,205,19,14,2,3,0
DCA,36,19,1,14,4,0
LAX,52,19,7,11,1,0
ATL,249,19,1,15,3,0
SFO,21,19,8,1,10,0
DTW,21,19,7,4,8,0
