Origin,DayOfYear,cancelledTotal,cancelledCarrier,cancelledWeather,cancelledNAS,cancelledSecurity
DCA,96,4,2,2,0,0
DCA,107,4,4,0,0,0
ORD,266,4,4,0,0,0
DCA,111,4,2,1,1,0
BOS,28,4,0,0,4,0
LAS,85,4,4,0,0,0
DTW,72,4,4,0,0,0
DEN,103,4,4,0,0,0
ORD,235,4,4,0,0,0
LAX,72,4,2,1,1,0
DFW,269,4,1,0,3,0
SFO,138,4,3,1,0,0
IAD,112,4,4,0,0,0
LAX,297,4,3,0,1,0
LAS,112,4,4,0,0,0
ORD,278,4,3,1,0,0
DTW,54,4,3,1,0,0
DTW,202,4,4,0,0,0
JFK,268,4,0,4,0,0
LAX,268,4,4,0,0,0
BOS,114,4,4,0,0,0
LAS,49,4,4,0,0,0
DFW,45,4,2,2,0,0
EWR,183,4,2,2,0,0
SFO,323,4,2,2,0,0
DTW,7,4,2,0,2,0
LAX,171,4,4,0,0,0
DCA,22,4,4,0,0,0
IAH,225,4,4,0,0,0
ATL,82,4,4,0,0,0
ORD,324,4,4,0,0,0
SFO,362,4,4,0,0,0
BOS,39,4,4,0,0,0
EWR,343,4,1,3,0,0
LAS,223,4,2,2,0,0
DTW,217,4,1,2,1,0
SFO,41,4,3,1,0,0
ATL,26,4,4,0,0,0
DEN,289,4,4,0,0,0
LAS,224,4,4,0,0,0
DCA,270,4,2,0,2,0
IAD,84,4,3,1,0,0
IAD,318,4,0,2,2,0
IAD,61,4,4,0,0,0
IAD,148,4,4,0,0,0
DFW,106,4,4,0,0,0
DCA,251,4,3,0,1,0
EWR,198,4,2,0,2,0
EWR,50,4,3,1,0,0
JFK,59,4,3,0,1,0
BOS,45,4,3,0,1,0
ATL,108,4,4,0,0,0
SFO,111,4,3,1,0,0
LAS,276,4,4,0,0,0
EWR,19,4,3,0,1,0
IAD,328,4,4,0,0,0
DTW,93,4,3,1,0,0
DEN,93,4,1,2,1,0
LAS,289,4,4,0,0,0
JFK,181,4,3,1,0,0
EWR,105,4,4,0,0,0
IAD,50,4,4,0,0,0
BOS,298,4,4,0,0,0
DTW,14,4,1,0,3,0
DFW,321,4,3,0,1,0
DCA,53,4,0,4,0,0
DEN,176,4,4,0,0,0
DTW,25,4,3,0,1,0
BOS,14,4,3,1,0,0
LGA,338,4,4,0,0,0
DFW,347,4,3,0,1,0
SFO,109,4,3,0,1,0
LAS,260,4,2,2,0,0
DCA,133,4,3,0,1,0
BOS,70,4,4,0,0,0
ORD,135,4,3,1,0,0
SFO,229,4,3,1,0,0
SFO,75,4,4,0,0,0
LGA,26,4,3,1,0,0
DCA,26,4,3,1,0,0
IAH,5,4,2,2,0,0
IAH,16,4,0,3,1,0
DFW,4,4,4,0,0,0
LAS,268,4,4,0,0,0
LAS,2,4,4,0,0,0
JFK,122,4,2,1,1,0
DCA,23,4,2,2,0,0
DCA,237,4,3,0,1,0
EWR,75,4,3,0,1,0
SFO,60,4,4,0,0,0
EWR,158,4,4,0,0,0
LAX,59,4,3,1,0,0
DTW,310,4,1,0,3,0
LAX,134,4,4,0,0,0
IAD,193,4,4,0,0,0
SFO,156,4,2,0,2,0
ATL,14,4,4,0,0,0
BOS,328,4,4,0,0,0
IAD,132,4,2,0,2,0
DEN,125,4,4,0,0,0
ATL,289,4,2,1,1,0
JFK,233,4,3,0,1,0
DFW,323,4,3,0,1,0
DEN,238,4,4,0,0,0
BOS,268,4,2,1,1,0
JFK,270,4,2,0,2,0
JFK,65,4,3,1,0,0
EWR,163,4,2,2,0,0
LGA,306,4,4,0,0,0
BOS,55,4,3,1,0,0
LAX,129,4,4,0,0,0
DCA,72,4,4,0,0,0
IAH,17,4,2,2,0,0
IAD,8,4,3,0,1,0
EWR,24,4,4,0,0,0
DEN,177,4,3,1,0,0
LAS,68,4,3,0,1,0
JFK,360,3,3,0,0,0
BOS,359,3,0,3,0,0
DTW,339,3,2,1,0,0
DFW,337,3,1,0,2,0
LAS,336,3,3,0,0,0
DCA,348,3,3,0,0,0
DEN,343,3,2,1,0,0
SFO,364,3,3,0,0,0
IAH,358,3,1,1,1,0
SFO,348,3,3,0,0,0
ATL,359,3,2,1,0,0
LGA,359,3,3,0,0,0
JFK,347,3,3,0,0,0
LGA,348,3,3,0,0,0
IAD,336,3,3,0,0,0
DCA,338,3,3,0,0,0
IAD,351,3,1,1,1,0
DEN,345,3,3,0,0,0
LAS,342,3,3,0,0,0
SFO,338,3,1,2,0,0
DFW,331,3,3,0,0,0
DCA,309,3,3,0,0,0
DCA,316,3,0,1,2,0
JFK,311,3,2,1,0,0
JFK,330,3,2,0,1,0
ATL,323,3,3,0,0,0
DFW,333,3,2,1,0,0
DCA,325,3,3,0,0,0
BOS,324,3,3,0,0,0
LGA,313,3,3,0,0,0
DFW,307,3,3,0,0,0
DCA,306,3,3,0,0,0
DTW,307,3,1,2,0,0
DCA,337,3,2,0,1,0
IAD,322,3,3,0,0,0
DTW,321,3,2,0,1,0
ORD,312,3,1,2,0,0
ATL,307,3,2,0,1,0
IAD,310,3,0,0,3,0
DTW,320,3,1,2,0,0
LAS,330,3,3,0,0,0
LAS,327,3,2,1,0,0
LAS,322,3,3,0,0,0
LAS,318,3,3,0,0,0
SFO,316,3,2,1,0,0
DEN,316,3,1,2,0,0
LAX,310,3,3,0,0,0
LGA,307,3,3,0,0,0
DFW,297,3,3,0,0,0
DFW,285,3,2,0,1,0
ORD,277,3,3,0,0,0
ATL,280,3,2,1,0,0
ATL,287,3,3,0,0,0
SFO,306,3,2,1,0,0
DTW,291,3,3,0,0,0
ORD,298,3,2,1,0,0
DFW,278,3,3,0,0,0
DTW,342,3,2,0,1,0
DFW,299,3,3,0,0,0
BOS,295,3,3,0,0,0
BOS,305,3,3,0,0,0
DCA,304,3,1,0,2,0
BOS,303,3,3,0,0,0
BOS,301,3,2,0,1,0
DCA,289,3,3,0,0,0
BOS,281,3,3,0,0,0
ORD,290,3,2,0,1,0
ORD,284,3,3,0,0,0
LAX,300,3,2,1,0,0
SFO,278,3,3,0,0,0
BOS,313,3,3,0,0,0
DFW,330,3,3,0,0,0
SFO,300,3,1,2,0,0
ORD,294,3,3,0,0,0
IAD,286,3,3,0,0,0
ATL,286,3,3,0,0,0
ORD,325,3,2,1,0,0
LGA,280,3,3,0,0,0
LGA,336,3,3,0,0,0
LAS,305,3,3,0,0,0
LAS,302,3,2,0,1,0
LAS,301,3,3,0,0,0
LAX,291,3,3,0,0,0
JFK,244,3,0,3,0,0
LGA,253,3,2,0,1,0
DCA,272,3,3,0,0,0
DCA,271,3,1,0,2,0
BOS,260,3,3,0,0,0
LGA,254,3,3,0,0,0
DCA,254,3,3,0,0,0
BOS,245,3,2,1,0,0
DEN,268,3,3,0,0,0
SFO,273,3,3,0,0,0
DCA,246,3,2,1,0,0
ORD,262,3,3,0,0,0
SFO,249,3,2,0,1,0
LAS,328,3,3,0,0,0
SFO,248,3,3,0,0,0
LAS,244,3,1,2,0,0
ATL,273,3,3,0,0,0
IAD,266,3,3,0,0,0
DEN,266,3,3,0,0,0
DTW,269,3,1,0,2,0
LAX,270,3,3,0,0,0
DEN,236,3,2,1,0,0
BOS,230,3,3,0,0,0
LAS,249,3,1,2,0,0
LAS,248,3,3,0,0,0
DEN,248,3,3,0,0,0
JFK,243,3,0,3,0,0
DEN,102,3,3,0,0,0
EWR,141,3,3,0,0,0
LAS,88,3,3,0,0,0
LAS,8,3,3,0,0,0
LAX,250,3,2,1,0,0
ATL,120,3,2,0,1,0
ATL,241,3,3,0,0,0
LGA,240,3,3,0,0,0
LAS,222,3,1,2,0,0
ORD,221,3,3,0,0,0
DEN,233,3,3,0,0,0
EWR,238,3,1,0,2,0
LAX,226,3,2,0,1,0
LAX,271,3,3,0,0,0
IAD,239,3,2,0,1,0
IAD,237,3,1,0,2,0
DCA,46,3,1,2,0,0
ATL,152,3,3,0,0,0
DTW,228,3,2,0,1,0
LAS,242,3,3,0,0,0
DEN,252,3,2,0,1,0
DEN,239,3,3,0,0,0
DEN,138,3,3,0,0,0
BOS,270,3,0,1,2,0
DTW,211,3,3,0,0,0
DCA,188,3,2,1,0,0
DCA,24,3,2,1,0,0
BOS,287,3,3,0,0,0
BOS,186,3,3,0,0,0
DFW,185,3,3,0,0,0
DFW,186,3,3,0,0,0
DTW,206,3,3,0,0,0
BOS,200,3,3,0,0,0
IAD,198,3,3,0,0,0
BOS,197,3,3,0,0,0
BOS,321,3,1,0,2,0
DEN,186,3,3,0,0,0
ORD,74,3,0,3,0,0
DCA,39,3,3,0,0,0
DTW,209,3,3,0,0,0
LAX,230,3,2,0,1,0
IAD,253,3,3,0,0,0
DEN,237,3,2,1,0,0
IAH,195,3,3,0,0,0
IAD,183,3,1,1,1,0
IAH,207,3,1,0,2,0
EWR,210,3,3,0,0,0
LAS,264,3,3,0,0,0
DEN,346,3,1,1,1,0
DTW,198,3,2,0,1,0
SFO,108,3,3,0,0,0
SFO,183,3,3,0,0,0
IAH,171,3,3,0,0,0
BOS,143,3,2,0,1,0
DCA,105,3,2,0,1,0
DTW,230,3,2,1,0,0
EWR,244,3,0,3,0,0
DFW,136,3,2,0,1,0
DTW,305,3,3,0,0,0
DEN,232,3,3,0,0,0
IAH,209,3,3,0,0,0
ATL,337,3,2,1,0,0
SFO,153,3,3,0,0,0
DCA,176,3,3,0,0,0
DCA,152,3,1,0,2,0
BOS,152,3,3,0,0,0
EWR,187,3,0,2,1,0
LAX,152,3,3,0,0,0
SFO,157,3,2,0,1,0
EWR,176,3,3,0,0,0
IAH,164,3,1,1,1,0
LAX,179,3,2,1,0,0
SFO,178,3,2,0,1,0
LAX,173,3,2,1,0,0
DTW,171,3,3,0,0,0
DTW,154,3,1,0,2,0
DEN,226,3,2,1,0,0
IAH,172,3,3,0,0,0
DEN,274,3,3,0,0,0
IAH,160,3,0,1,2,0
LAX,276,3,3,0,0,0
DTW,181,3,1,1,1,0
LAX,172,3,2,1,0,0
LAS,171,3,3,0,0,0
DFW,146,3,3,0,0,0
DTW,325,3,1,2,0,0
JFK,130,3,3,0,0,0
DEN,315,3,1,2,0,0
IAH,315,3,1,2,0,0
EWR,126,3,3,0,0,0
LAS,59,3,3,0,0,0
DEN,24,3,0,2,1,0
LGA,138,3,3,0,0,0
ATL,123,3,2,1,0,0
LGA,149,3,2,0,1,0
LGA,141,3,3,0,0,0
ATL,139,3,2,0,1,0
EWR,138,3,0,0,3,0
DCA,126,3,3,0,0,0
DCA,276,3,2,0,1,0
DEN,123,3,3,0,0,0
LAS,131,3,2,0,1,0
BOS,133,3,3,0,0,0
LAX,128,3,3,0,0,0
DEN,124,3,3,0,0,0
DCA,125,3,2,0,1,0
DCA,143,3,1,0,2,0
DFW,143,3,3,0,0,0
DEN,140,3,3,0,0,0
LGA,146,3,3,0,0,0
ORD,138,3,3,0,0,0
LAX,136,3,3,0,0,0
DFW,148,3,1,1,1,0
EWR,211,3,2,1,0,0
DEN,134,3,2,1,0,0
DEN,130,3,1,0,2,0
IAD,128,3,3,0,0,0
IAD,65,3,1,2,0,0
LAS,124,3,3,0,0,0
IAD,124,3,2,0,1,0
IAH,123,3,1,2,0,0
IAH,147,3,0,3,0,0
SFO,151,3,1,1,1,0
LAX,143,3,3,0,0,0
LAX,146,3,3,0,0,0
JFK,84,3,3,0,0,0
SFO,126,3,1,1,1,0
LGA,19,3,3,0,0,0
ORD,267,3,3,0,0,0
IAH,98,3,2,1,0,0
JFK,120,3,3,0,0,0
DFW,119,3,2,0,1,0
JFK,47,3,0,2,1,0
JFK,95,3,3,0,0,0
DTW,96,3,1,2,0,0
DFW,120,3,1,0,2,0
ATL,135,3,3,0,0,0
ATL,105,3,3,0,0,0
ATL,102,3,3,0,0,0
BOS,279,3,3,0,0,0
DEN,110,3,1,2,0,0
IAD,102,3,3,0,0,0
IAH,108,3,0,3,0,0
DCA,104,3,3,0,0,0
BOS,108,3,3,0,0,0
IAD,119,3,2,1,0,0
ATL,103,3,3,0,0,0
DFW,364,3,3,0,0,0
LGA,140,3,3,0,0,0
SFO,159,3,1,0,2,0
BOS,106,3,3,0,0,0
IAD,186,3,3,0,0,0
DFW,340,3,3,0,0,0
DCA,119,3,2,1,0,0
BOS,107,3,3,0,0,0
EWR,104,3,3,0,0,0
DEN,148,3,1,2,0,0
IAD,115,3,2,1,0,0
IAD,114,3,3,0,0,0
IAD,294,3,3,0,0,0
LAS,213,3,3,0,0,0
IAH,85,3,3,0,0,0
EWR,235,3,3,0,0,0
DTW,219,3,2,0,1,0
DTW,46,3,2,1,0,0
DFW,360,3,0,3,0,0
IAD,86,3,3,0,0,0
IAD,120,3,3,0,0,0
BOS,73,3,3,0,0,0
SFO,94,3,2,1,0,0
DEN,337,3,3,0,0,0
IAD,121,3,3,0,0,0
DCA,112,3,2,1,0,0
ORD,109,3,3,0,0,0
ATL,116,3,2,1,0,0
IAH,297,3,2,1,0,0
DTW,83,3,3,0,0,0
JFK,70,3,3,0,0,0
LAX,293,3,2,1,0,0
DCA,230,3,2,1,0,0
LAS,152,3,3,0,0,0
LGA,108,3,3,0,0,0
LAS,106,3,3,0,0,0
IAH,10,3,1,2,0,0
ATL,76,3,2,1,0,0
DTW,197,3,2,1,0,0
ATL,198,3,3,0,0,0
LAS,104,3,3,0,0,0
DTW,273,3,3,0,0,0
SFO,172,3,2,1,0,0
EWR,83,3,3,0,0,0
ORD,282,3,2,0,1,0
DFW,73,3,3,0,0,0
IAD,206,3,3,0,0,0
DEN,83,3,2,1,0,0
IAD,82,3,3,0,0,0
IAD,76,3,2,1,0,0
LAX,89,3,3,0,0,0
SFO,149,3,2,0,1,0
SFO,81,3,3,0,0,0
LAX,81,3,3,0,0,0
DEN,137,3,3,0,0,0
EWR,16,3,1,1,1,0
ATL,274,3,3,0,0,0
EWR,128,3,3,0,0,0
SFO,73,3,3,0,0,0
DFW,308,3,3,0,0,0
LGA,82,3,3,0,0,0
DEN,181,3,2,1,0,0
LAS,218,3,3,0,0,0
DCA,197,3,3,0,0,0
SFO,142,3,3,0,0,0
ATL,349,3,2,0,1,0
IAD,81,3,2,1,0,0
DEN,81,3,2,1,0,0
DEN,224,3,2,1,0,0
IAH,129,3,2,0,1,0
DFW,81,3,3,0,0,0
DCA,106,3,3,0,0,0
BOS,95,3,3,0,0,0
LAS,164,3,2,1,0,0
ATL,317,3,3,0,0,0
IAH,64,3,1,1,1,0
JFK,21,3,3,0,0,0
DEN,60,3,3,0,0,0
SFO,74,3,3,0,0,0
IAH,37,3,0,3,0,0
DFW,253,3,3,0,0,0
IAH,234,3,1,2,0,0
IAD,7,3,2,1,0,0
JFK,98,3,3,0,0,0
SFO,265,3,3,0,0,0
IAD,89,3,2,0,1,0
LGA,142,3,1,0,2,0
BOS,323,3,3,0,0,0
DEN,120,3,2,0,1,0
EWR,111,3,2,1,0,0
JFK,33,3,3,0,0,0
EWR,59,3,3,0,0,0
ATL,104,3,3,0,0,0
LAS,119,3,2,1,0,0
EWR,171,3,2,1,0,0
EWR,81,3,2,1,0,0
DTW,92,3,2,0,1,0
ATL,32,3,3,0,0,0
ATL,39,3,2,1,0,0
IAD,219,3,1,1,1,0
LAS,72,3,3,0,0,0
IAD,131,3,3,0,0,0
LAX,219,3,3,0,0,0
LAX,45,3,3,0,0,0
DCA,60,3,3,0,0,0
LGA,246,3,2,1,0,0
DEN,88,3,1,2,0,0
LAS,143,3,3,0,0,0
ATL,218,3,3,0,0,0
LGA,74,3,1,2,0,0
LAX,207,3,3,0,0,0
SFO,144,3,2,0,1,0
BOS,116,3,2,1,0,0
EWR,362,3,0,2,1,0
JFK,102,3,1,1,1,0
LAS,54,3,3,0,0,0
BOS,54,3,3,0,0,0
JFK,49,3,2,0,1,0
DTW,178,3,1,0,2,0
BOS,112,3,2,1,0,0
DTW,89,3,2,0,1,0
BOS,207,3,3,0,0,0
SFO,91,3,3,0,0,0
JFK,319,3,1,0,2,0
SFO,195,3,3,0,0,0
SFO,105,3,2,1,0,0
IAH,122,3,2,1,0,0
DCA,116,3,1,1,1,0
EWR,233,3,2,1,0,0
IAH,140,3,1,0,2,0
LAS,253,3,3,0,0,0
DCA,32,3,2,0,1,0
DCA,281,3,2,1,0,0
ORD,273,3,2,0,1,0
ATL,311,3,1,0,2,0
LAS,163,3,3,0,0,0
DTW,11,3,2,1,0,0
ORD,288,3,3,0,0,0
JFK,170,3,2,1,0,0
JFK,162,3,2,0,1,0
IAD,88,3,3,0,0,0
IAD,85,3,3,0,0,0
DCA,339,3,3,0,0,0
DFW,103,3,3,0,0,0
LGA,182,3,2,0,1,0
JFK,8,3,2,1,0,0
LAS,199,3,3,0,0,0
LAS,198,3,3,0,0,0
LAX,103,3,3,0,0,0
BOS,17,3,2,1,0,0
DTW,168,3,1,1,1,0
LAX,48,3,3,0,0,0
IAH,52,3,2,1,0,0
DCA,37,3,2,1,0,0
ORD,96,3,3,0,0,0
ORD,88,3,3,0,0,0
DTW,329,3,3,0,0,0
LGA,263,3,1,0,2,0
IAD,58,3,3,0,0,0
DFW,293,3,3,0,0,0
DTW,271,3,3,0,0,0
JFK,18,3,3,0,0,0
DCA,25,3,0,3,0,0
LAX,194,3,3,0,0,0
ORD,297,3,2,1,0,0
DCA,247,3,3,0,0,0
JFK,5,3,2,0,1,0
DCA,49,3,2,0,1,0
DTW,117,3,1,2,0,0
SFO,97,3,3,0,0,0
IAH,220,3,3,0,0,0
JFK,27,3,3,0,0,0
DEN,258,3,0,3,0,0
DTW,213,3,3,0,0,0
LGA,95,3,2,0,1,0
EWR,246,3,1,2,0,0
IAH,45,3,2,1,0,0
LAS,127,3,3,0,0,0
IAD,97,3,3,0,0,0
DEN,301,3,3,0,0,0
LAS,142,3,2,1,0,0
DEN,282,3,3,0,0,0
DEN,221,3,3,0,0,0
SFO,244,3,3,0,0,0
ORD,263,3,0,0,3,0
IAH,21,3,0,3,0,0
SFO,130,3,3,0,0,0
LGA,288,3,3,0,0,0
LGA,89,3,2,0,1,0
LAX,349,3,2,0,1,0
EWR,102,3,3,0,0,0
IAH,18,3,0,2,1,0
LAS,197,3,3,0,0,0
SFO,137,3,3,0,0,0
IAH,212,3,2,1,0,0
IAD,130,3,3,0,0,0
LAX,124,3,2,0,1,0
SFO,110,3,3,0,0,0
LAX,186,3,3,0,0,0
IAH,9,3,2,1,0,0
BOS,348,2,2,0,0,0
DFW,341,2,1,0,1,0
DCA,342,2,1,1,0,0
EWR,363,2,1,0,1,0
JFK,340,2,2,0,0,0
EWR,338,2,2,0,0,0
SFO,358,2,1,1,0,0
IAD,357,2,2,0,0,0
IAD,340,2,2,0,0,0
IAD,339,2,2,0,0,0
IAH,362,2,0,2,0,0
IAH,363,2,2,0,0,0
DCA,364,2,2,0,0,0
JFK,358,2,0,1,1,0
IAH,343,2,2,0,0,0
ATL,336,2,2,0,0,0
LAX,364,2,1,1,0,0
LAS,349,2,2,0,0,0
LAS,348,2,2,0,0,0
LAX,340,2,2,0,0,0
DEN,339,2,2,0,0,0
DTW,337,2,2,0,0,0
DFW,328,2,2,0,0,0
ORD,309,2,1,0,1,0
DTW,306,2,2,0,0,0
DTW,309,2,2,0,0,0
DCA,311,2,1,1,0,0
DFW,332,2,1,1,0,0
LAX,313,2,2,0,0,0
ATL,316,2,2,0,0,0
ATL,306,2,2,0,0,0
IAD,330,2,1,1,0,0
LGA,322,2,2,0,0,0
DCA,321,2,1,1,0,0
LGA,333,2,2,0,0,0
LAX,331,2,2,0,0,0
LGA,328,2,2,0,0,0
DCA,328,2,2,0,0,0
BOS,322,2,2,0,0,0
DCA,307,2,2,0,0,0
LAS,306,2,0,0,2,0
LAX,312,2,2,0,0,0
DCA,317,2,2,0,0,0
ORD,306,2,2,0,0,0
BOS,307,2,2,0,0,0
IAD,329,2,2,0,0,0
DEN,330,2,2,0,0,0
SFO,328,2,1,1,0,0
SFO,313,2,1,1,0,0
IAH,319,2,2,0,0,0
EWR,321,2,2,0,0,0
IAD,323,2,2,0,0,0
IAH,316,2,0,2,0,0
SFO,327,2,0,2,0,0
DEN,325,2,2,0,0,0
DEN,322,2,2,0,0,0
SFO,312,2,2,0,0,0
DFW,292,2,2,0,0,0
DFW,304,2,2,0,0,0
DFW,279,2,2,0,0,0
DFW,280,2,2,0,0,0
DFW,290,2,1,0,1,0
IAH,288,2,2,0,0,0
JFK,292,2,2,0,0,0
DTW,289,2,1,0,1,0
JFK,303,2,1,0,1,0
ATL,296,2,0,0,2,0
JFK,298,2,2,0,0,0
DCA,296,2,1,0,1,0
DCA,295,2,2,0,0,0
DCA,303,2,2,0,0,0
DFW,301,2,1,0,1,0
LAS,300,2,2,0,0,0
LAX,298,2,2,0,0,0
DCA,298,2,2,0,0,0
DCA,297,2,2,0,0,0
DCA,294,2,2,0,0,0
LGA,293,2,2,0,0,0
DCA,280,2,2,0,0,0
DCA,279,2,2,0,0,0
DEN,302,2,2,0,0,0
SFO,282,2,2,0,0,0
DFW,294,2,2,0,0,0
ORD,281,2,1,0,1,0
BOS,289,2,2,0,0,0
BOS,304,2,2,0,0,0
DEN,299,2,2,0,0,0
ORD,275,2,2,0,0,0
DEN,298,2,2,0,0,0
DEN,304,2,2,0,0,0
ORD,296,2,2,0,0,0
SFO,276,2,0,0,2,0
SFO,304,2,0,0,2,0
IAD,298,2,2,0,0,0
LGA,294,2,2,0,0,0
IAD,290,2,2,0,0,0
DEN,290,2,2,0,0,0
ATL,284,2,2,0,0,0
DTW,290,2,0,1,1,0
LAS,304,2,1,0,1,0
DTW,299,2,1,0,1,0
SFO,295,2,0,2,0,0
DEN,295,2,2,0,0,0
LAS,290,2,2,0,0,0
LAX,287,2,2,0,0,0
DEN,279,2,2,0,0,0
IAH,252,2,0,2,0,0
DFW,251,2,2,0,0,0
IAH,267,2,2,0,0,0
JFK,272,2,2,0,0,0
DTW,258,2,1,1,0,0
EWR,259,2,2,0,0,0
JFK,264,2,0,2,0,0
ORD,271,2,2,0,0,0
DFW,271,2,2,0,0,0
LGA,264,2,2,0,0,0
BOS,271,2,1,0,1,0
BOS,267,2,2,0,0,0
EWR,264,2,1,0,1,0
LGA,260,2,2,0,0,0
LAS,254,2,2,0,0,0
BOS,250,2,2,0,0,0
DCA,245,2,1,1,0,0
SFO,246,2,1,1,0,0
SFO,268,2,2,0,0,0
ORD,250,2,2,0,0,0
IAD,246,2,2,0,0,0
SFO,245,2,2,0,0,0
SFO,263,2,2,0,0,0
SFO,271,2,1,1,0,0
SFO,266,2,1,1,0,0
DCA,250,2,2,0,0,0
DTW,262,2,2,0,0,0
LAS,87,2,2,0,0,0
LAX,278,2,2,0,0,0
IAH,269,2,1,1,0,0
LAS,272,2,2,0,0,0
LAX,266,2,1,1,0,0
IAH,187,2,2,0,0,0
LGA,221,2,2,0,0,0
EWR,76,2,0,1,1,0
IAH,214,2,2,0,0,0
DCA,130,2,2,0,0,0
DFW,242,2,2,0,0,0
EWR,249,2,0,1,1,0
DCA,265,2,1,0,1,0
JFK,242,2,2,0,0,0
BOS,275,2,2,0,0,0
LGA,236,2,2,0,0,0
LAS,239,2,2,0,0,0
DCA,235,2,2,0,0,0
LAS,228,2,2,0,0,0
LAS,215,2,1,0,1,0
IAD,231,2,0,2,0,0
LAS,229,2,2,0,0,0
BOS,239,2,2,0,0,0
IAD,240,2,2,0,0,0
IAD,229,2,2,0,0,0
SFO,237,2,2,0,0,0
LGA,234,2,0,2,0,0
JFK,230,2,2,0,0,0
DEN,135,2,2,0,0,0
IAD,234,2,0,2,0,0
IAH,241,2,1,1,0,0
ATL,144,2,2,0,0,0
LAS,341,2,1,1,0,0
LAS,243,2,1,1,0,0
LAS,277,2,2,0,0,0
LAX,241,2,2,0,0,0
DTW,231,2,0,2,0,0
ATL,183,2,1,1,0,0
IAH,190,2,1,1,0,0
LAX,220,2,2,0,0,0
SFO,267,2,1,0,1,0
JFK,196,2,2,0,0,0
IAH,79,2,2,0,0,0
LGA,277,2,2,0,0,0
JFK,193,2,2,0,0,0
LAS,182,2,2,0,0,0
IAD,195,2,2,0,0,0
EWR,192,2,2,0,0,0
LAS,206,2,2,0,0,0
SFO,184,2,2,0,0,0
DFW,207,2,2,0,0,0
DCA,207,2,2,0,0,0
ATL,196,2,2,0,0,0
DEN,198,2,2,0,0,0
IAD,212,2,2,0,0,0
IAH,237,2,2,0,0,0
EWR,200,2,2,0,0,0
ATL,278,2,2,0,0,0
IAH,191,2,1,0,1,0
BOS,243,2,1,1,0,0
IAD,268,2,1,0,1,0
LAS,311,2,1,0,1,0
IAH,119,2,2,0,0,0
EWR,133,2,1,0,1,0
ATL,200,2,2,0,0,0
JFK,192,2,2,0,0,0
DCA,340,2,2,0,0,0
DCA,185,2,2,0,0,0
JFK,89,2,2,0,0,0
LAX,221,2,1,1,0,0
DCA,266,2,1,0,1,0
SFO,163,2,2,0,0,0
BOS,235,2,2,0,0,0
JFK,25,2,2,0,0,0
DCA,322,2,1,0,1,0
LAS,203,2,2,0,0,0
IAH,83,2,2,0,0,0
LAS,193,2,2,0,0,0
JFK,38,2,1,0,1,0
ATL,169,2,1,0,1,0
JFK,235,2,2,0,0,0
DTW,207,2,2,0,0,0
JFK,20,2,2,0,0,0
SFO,269,2,2,0,0,0
DTW,172,2,1,1,0,0
LGA,152,2,0,2,0,0
LAS,312,2,2,0,0,0
ATL,176,2,2,0,0,0
LGA,172,2,2,0,0,0
DCA,172,2,2,0,0,0
EWR,172,2,2,0,0,0
LAS,15,2,2,0,0,0
DCA,158,2,2,0,0,0
EWR,152,2,2,0,0,0
IAH,192,2,1,0,1,0
SFO,165,2,2,0,0,0
DEN,178,2,0,2,0,0
IAD,358,2,1,1,0,0
LAX,178,2,2,0,0,0
LAX,158,2,2,0,0,0
JFK,171,2,2,0,0,0
EWR,95,2,1,0,1,0
IAD,327,2,1,1,0,0
IAH,159,2,0,1,1,0
LAX,299,2,0,2,0,0
DEN,241,2,0,2,0,0
LAX,267,2,1,1,0,0
LGA,274,2,2,0,0,0
IAH,165,2,2,0,0,0
JFK,241,2,2,0,0,0
DEN,153,2,2,0,0,0
JFK,153,2,2,0,0,0
SFO,270,2,0,2,0,0
DTW,246,2,2,0,0,0
EWR,248,2,0,2,0,0
LAS,207,2,2,0,0,0
ATL,270,2,2,0,0,0
IAH,176,2,0,2,0,0
IAH,167,2,0,2,0,0
DTW,179,2,1,0,1,0
IAH,181,2,1,1,0,0
IAD,241,2,2,0,0,0
IAD,163,2,1,0,1,0
DTW,112,2,1,0,1,0
IAD,299,2,1,1,0,0
DTW,191,2,1,0,1,0
SFO,289,2,2,0,0,0
LAX,145,2,2,0,0,0
LAS,18,2,1,1,0,0
LAS,19,2,2,0,0,0
IAH,169,2,1,1,0,0
DTW,124,2,2,0,0,0
JFK,135,2,2,0,0,0
DCA,273,2,2,0,0,0
DFW,144,2,2,0,0,0
JFK,183,2,1,0,1,0
IAD,271,2,0,0,2,0
IAD,225,2,2,0,0,0
ATL,71,2,1,0,1,0
ATL,124,2,1,0,1,0
DTW,182,2,1,0,1,0
